NumeroPaquete,Origen,Destino,Longitud,CodigoFuncion,CampoVector,NumeroObjetos
1,4,3,10,Unsolicited Response,ND,0
2,3,4,8,Confirm,ND,0
3,3,4,18,Write,Time and Date (Obj:50  Var:01);0xff875ae4eb;,1
4,4,3,10,Response,ND,0
5,3,4,17,Disable Spontaneus Messages,Class 1 Data (Obj:60  Var:02);Null;Class 2 Data (Obj:60  Var:03);Null;Class 3 Data (Obj:60  Var:04);Null;,3
6,4,3,10,Response,ND,0
7,4,3,10,Unsolicited Response,ND,0
8,4,3,10,Unsolicited Response,ND,0
9,3,4,8,Confirm,ND,0
10,3,4,18,Write,Time and Date (Obj:50  Var:01);0xff877be1a9;,1
11,4,3,10,Response,ND,0
12,3,4,17,Enable Spontaneus Messages,Class 1 Data (Obj:60  Var:02);Null;Class 2 Data (Obj:60  Var:03);Null;Class 3 Data (Obj:60  Var:04);Null;,3
13,4,3,10,Response,ND,0
14,4,3,76,Unsolicited Response,Time and Date CTO (Obj:51  Var:01);numeroPuntos=1;0xff877d43e2;Binary Input Change With Relative Time (Obj:02  Var:03);numeroPuntos=5;0;1;1;1;0;32-Bit Analog Change Event w/o Time (Obj:32  Var:01);numeroPuntos=3;0000;0000;0000;,3
15,3,4,8,Confirm,ND,0
16,4,3,71,Unsolicited Response,Time and Date CTO (Obj:51  Var:01);numeroPuntos=1;0xff877d47d5;Binary Input Change With Relative Time (Obj:02  Var:03);numeroPuntos=4;0;0;1;1;32-Bit Analog Change Event w/o Time (Obj:32  Var:01);numeroPuntos=3;000198;0000;0000;,3
17,3,4,8,Confirm,ND,0
18,4,3,76,Unsolicited Response,Time and Date CTO (Obj:51  Var:01);numeroPuntos=1;0xff877d4ef4;Binary Input Change With Relative Time (Obj:02  Var:03);numeroPuntos=5;1;0;0;0;1;32-Bit Analog Change Event w/o Time (Obj:32  Var:01);numeroPuntos=3;000198;000202;000198;,3
19,3,4,8,Confirm,ND,0
20,4,3,71,Unsolicited Response,Time and Date CTO (Obj:51  Var:01);numeroPuntos=1;0xff877d52b5;Binary Input Change With Relative Time (Obj:02  Var:03);numeroPuntos=4;1;1;0;0;32-Bit Analog Change Event w/o Time (Obj:32  Var:01);numeroPuntos=3;0000;000202;000200;,3
21,3,4,8,Confirm,ND,0
22,4,3,76,Unsolicited Response,Time and Date CTO (Obj:51  Var:01);numeroPuntos=1;0xff877d5a1a;Binary Input Change With Relative Time (Obj:02  Var:03);numeroPuntos=5;0;1;1;1;0;32-Bit Analog Change Event w/o Time (Obj:32  Var:01);numeroPuntos=3;0000;0000;0000;,3
23,3,4,8,Confirm,ND,0
24,4,3,50,Unsolicited Response,Time and Date CTO (Obj:51  Var:01);numeroPuntos=1;0xff877d5dc7;Binary Input Change With Relative Time (Obj:02  Var:03);numeroPuntos=5;0;0;1;1;1;,2
