NumeroPaquete,Timestamp,Origen,Destino,Longitud,CodigoFuncion,Objeto,Valor
1,2004-10-11 13:38:58.504844032,4,3,10,Unsolicited Response,ND,ND
2,2004-10-11 13:39:01.547020928,3,4,8,Confirm,ND,ND
3,2004-10-11 13:39:01.547816064,3,4,18,Write,Time and Date (Obj:50  Var:01),0xff875ae4eb
4,2004-10-11 13:39:01.569134080,4,3,10,Response,ND,ND
5,2004-10-11 13:41:01.905495808,3,4,17,Disable Spontaneus Messages,Class 1 Data (Obj:60  Var:02),Null
5,2004-10-11 13:41:01.905495808,3,4,17,Disable Spontaneus Messages,Class 2 Data (Obj:60  Var:03),Null
5,2004-10-11 13:41:01.905495808,3,4,17,Disable Spontaneus Messages,Class 3 Data (Obj:60  Var:04),Null
6,2004-10-11 13:41:01.912092928,4,3,10,Response,ND,ND
7,2004-10-11 13:50:23.047416832,4,3,10,Unsolicited Response,ND,ND
8,2004-10-11 14:15:02.257400064,4,3,10,Unsolicited Response,ND,ND
9,2004-10-11 14:15:03.397942016,3,4,8,Confirm,ND,ND
10,2004-10-11 14:15:03.398715904,3,4,18,Write,Time and Date (Obj:50  Var:01),0xff877be1a9
11,2004-10-11 14:15:03.409070080,4,3,10,Response,ND,ND
12,2004-10-11 14:16:26.592304000,3,4,17,Enable Spontaneus Messages,Class 1 Data (Obj:60  Var:02),Null
12,2004-10-11 14:16:26.592304000,3,4,17,Enable Spontaneus Messages,Class 2 Data (Obj:60  Var:03),Null
12,2004-10-11 14:16:26.592304000,3,4,17,Enable Spontaneus Messages,Class 3 Data (Obj:60  Var:04),Null
13,2004-10-11 14:16:26.667107072,4,3,10,Response,ND,ND
14,2004-10-11 14:16:35.106256896,4,3,76,Unsolicited Response,Time and Date CTO (Obj:51  Var:01),0xff877d43e2
14,2004-10-11 14:16:35.106256896,4,3,76,Unsolicited Response,Binary Input Change With Relative Time (Obj:02  Var:03),0
14,2004-10-11 14:16:35.106256896,4,3,76,Unsolicited Response,Binary Input Change With Relative Time (Obj:02  Var:03),1
14,2004-10-11 14:16:35.106256896,4,3,76,Unsolicited Response,Binary Input Change With Relative Time (Obj:02  Var:03),1
14,2004-10-11 14:16:35.106256896,4,3,76,Unsolicited Response,Binary Input Change With Relative Time (Obj:02  Var:03),1
14,2004-10-11 14:16:35.106256896,4,3,76,Unsolicited Response,Binary Input Change With Relative Time (Obj:02  Var:03),0
14,2004-10-11 14:16:35.106256896,4,3,76,Unsolicited Response,32-Bit Analog Change Event w/o Time (Obj:32  Var:01),0000
14,2004-10-11 14:16:35.106256896,4,3,76,Unsolicited Response,32-Bit Analog Change Event w/o Time (Obj:32  Var:01),0000
14,2004-10-11 14:16:35.106256896,4,3,76,Unsolicited Response,32-Bit Analog Change Event w/o Time (Obj:32  Var:01),0000
15,2004-10-11 14:16:35.162782976,3,4,8,Confirm,ND,ND
16,2004-10-11 14:16:36.566493056,4,3,71,Unsolicited Response,Time and Date CTO (Obj:51  Var:01),0xff877d47d5
16,2004-10-11 14:16:36.566493056,4,3,71,Unsolicited Response,Binary Input Change With Relative Time (Obj:02  Var:03),0
16,2004-10-11 14:16:36.566493056,4,3,71,Unsolicited Response,Binary Input Change With Relative Time (Obj:02  Var:03),0
16,2004-10-11 14:16:36.566493056,4,3,71,Unsolicited Response,Binary Input Change With Relative Time (Obj:02  Var:03),1
16,2004-10-11 14:16:36.566493056,4,3,71,Unsolicited Response,Binary Input Change With Relative Time (Obj:02  Var:03),1
16,2004-10-11 14:16:36.566493056,4,3,71,Unsolicited Response,32-Bit Analog Change Event w/o Time (Obj:32  Var:01),000198
16,2004-10-11 14:16:36.566493056,4,3,71,Unsolicited Response,32-Bit Analog Change Event w/o Time (Obj:32  Var:01),0000
16,2004-10-11 14:16:36.566493056,4,3,71,Unsolicited Response,32-Bit Analog Change Event w/o Time (Obj:32  Var:01),0000
17,2004-10-11 14:16:36.574822912,3,4,8,Confirm,ND,ND
18,2004-10-11 14:16:37.887726080,4,3,76,Unsolicited Response,Time and Date CTO (Obj:51  Var:01),0xff877d4ef4
18,2004-10-11 14:16:37.887726080,4,3,76,Unsolicited Response,Binary Input Change With Relative Time (Obj:02  Var:03),1
18,2004-10-11 14:16:37.887726080,4,3,76,Unsolicited Response,Binary Input Change With Relative Time (Obj:02  Var:03),0
18,2004-10-11 14:16:37.887726080,4,3,76,Unsolicited Response,Binary Input Change With Relative Time (Obj:02  Var:03),0
18,2004-10-11 14:16:37.887726080,4,3,76,Unsolicited Response,Binary Input Change With Relative Time (Obj:02  Var:03),0
18,2004-10-11 14:16:37.887726080,4,3,76,Unsolicited Response,Binary Input Change With Relative Time (Obj:02  Var:03),1
18,2004-10-11 14:16:37.887726080,4,3,76,Unsolicited Response,32-Bit Analog Change Event w/o Time (Obj:32  Var:01),000198
18,2004-10-11 14:16:37.887726080,4,3,76,Unsolicited Response,32-Bit Analog Change Event w/o Time (Obj:32  Var:01),000202
